snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-07-23,uni-stuttgart,University of Stuttgart,1,2026,1525,1234,0.8092
2026-07-23,uni-stuttgart,University of Stuttgart,1,2025,1814,1143,0.6301
2026-07-23,uni-stuttgart,University of Stuttgart,1,2024,1980,1259,0.6359
2026-07-23,uni-stuttgart,University of Stuttgart,1,2023,2026,1160,0.5726
2026-07-23,uni-stuttgart,University of Stuttgart,1,2022,2043,1137,0.5565
2026-07-23,uni-stuttgart,University of Stuttgart,1,2021,2289,1251,0.5465
2026-07-23,uni-stuttgart,University of Stuttgart,1,2020,1914,1041,0.5439
2026-07-23,uni-stuttgart,University of Stuttgart,1,2019,1848,710,0.3842
2026-07-23,uni-stuttgart,University of Stuttgart,1,2018,1875,604,0.3221
2026-07-23,uni-stuttgart,University of Stuttgart,1,2017,1852,519,0.2802
2026-07-23,uni-stuttgart,University of Stuttgart,1,2016,1807,583,0.3226
2026-07-23,uni-stuttgart,University of Stuttgart,1,2015,1452,436,0.3003
2026-07-23,uni-stuttgart,University of Stuttgart,1,2014,1524,376,0.2467
2026-07-23,uni-stuttgart,University of Stuttgart,1,2013,1342,295,0.2198
