snapshot_date,slug,year,ca_works,ca_oa_works,ca_oa_share,ca_doaj_works,ca_doaj_share
2026-07-21,tu-munich,2026,3411,2970,0.8707,514,0.1507
2026-07-21,tu-munich,2025,4867,3928,0.8071,922,0.1894
2026-07-21,tu-munich,2024,4887,3825,0.7827,1064,0.2177
2026-07-21,tu-munich,2023,5389,3807,0.7064,1076,0.1997
2026-07-21,tu-munich,2022,5153,3450,0.6695,1155,0.2241
2026-07-21,tu-munich,2021,4799,3361,0.7004,1040,0.2167
2026-07-21,tu-munich,2020,4426,3093,0.6988,912,0.2061
2026-07-21,tu-munich,2019,4495,2763,0.6147,732,0.1628
2026-07-21,tu-munich,2018,3954,2134,0.5397,630,0.1593
2026-07-21,tu-munich,2017,4032,1831,0.4541,613,0.152
2026-07-21,tu-munich,2016,3557,1568,0.4408,475,0.1335
2026-07-21,tu-munich,2015,3141,1175,0.3741,332,0.1057
2026-07-21,tu-munich,2014,2830,993,0.3509,289,0.1021
2026-07-21,tu-munich,2013,2981,917,0.3076,267,0.0896
