snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-17,tu-darmstadt,Technische Universität Darmstadt,3,2026,614,476,0.7752
2026-08-17,tu-darmstadt,Technische Universität Darmstadt,3,2025,1108,845,0.7626
2026-08-17,tu-darmstadt,Technische Universität Darmstadt,3,2024,1106,853,0.7712
2026-08-17,tu-darmstadt,Technische Universität Darmstadt,3,2023,1148,789,0.6873
2026-08-17,tu-darmstadt,Technische Universität Darmstadt,3,2022,1196,816,0.6823
2026-08-17,tu-darmstadt,Technische Universität Darmstadt,3,2021,1313,847,0.6451
2026-08-17,tu-darmstadt,Technische Universität Darmstadt,3,2020,1254,787,0.6276
2026-08-17,tu-darmstadt,Technische Universität Darmstadt,3,2019,1088,519,0.477
2026-08-17,tu-darmstadt,Technische Universität Darmstadt,3,2018,1105,420,0.3801
2026-08-17,tu-darmstadt,Technische Universität Darmstadt,3,2017,1047,383,0.3658
2026-08-17,tu-darmstadt,Technische Universität Darmstadt,3,2016,1012,346,0.3419
2026-08-17,tu-darmstadt,Technische Universität Darmstadt,3,2015,924,304,0.329
2026-08-17,tu-darmstadt,Technische Universität Darmstadt,3,2014,863,254,0.2943
2026-08-17,tu-darmstadt,Technische Universität Darmstadt,3,2013,798,213,0.2669
