snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-07-23,leibniz-hannover,Leibniz University Hannover,4,2026,1113,932,0.8374
2026-07-23,leibniz-hannover,Leibniz University Hannover,4,2025,1600,1094,0.6838
2026-07-23,leibniz-hannover,Leibniz University Hannover,4,2024,1732,1266,0.7309
2026-07-23,leibniz-hannover,Leibniz University Hannover,4,2023,1792,1242,0.6931
2026-07-23,leibniz-hannover,Leibniz University Hannover,4,2022,1829,1154,0.6309
2026-07-23,leibniz-hannover,Leibniz University Hannover,4,2021,1656,1047,0.6322
2026-07-23,leibniz-hannover,Leibniz University Hannover,4,2020,1615,945,0.5851
2026-07-23,leibniz-hannover,Leibniz University Hannover,4,2019,1412,615,0.4356
2026-07-23,leibniz-hannover,Leibniz University Hannover,4,2018,1382,582,0.4211
2026-07-23,leibniz-hannover,Leibniz University Hannover,4,2017,1385,507,0.3661
2026-07-23,leibniz-hannover,Leibniz University Hannover,4,2016,1315,505,0.384
2026-07-23,leibniz-hannover,Leibniz University Hannover,4,2015,1143,415,0.3631
2026-07-23,leibniz-hannover,Leibniz University Hannover,4,2014,1056,340,0.322
2026-07-23,leibniz-hannover,Leibniz University Hannover,4,2013,996,278,0.2791
